['02714', 'O', '778', '793', '793', '806', '675', 'O']
['02771', '172', 'O', 'O', '94', '187', '40', '170']
['02719', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02772', '173', '43', '76', '91', '50', 'O', 'O']
['02721', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02773', 'O', '173', '41', '52', '91', 'O', 'O']
['02722', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02774', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02731', '139', '139', '142', '139', 'O', 'O', '42']
['02775', 'I-BO', '46', '97', '45', '69', 'O', 'O']
['02733', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02776', 'O', '45', '78', '192', '190', '471', 'O']
['02735', '806', '806', '805', '805', 'O', 'O', '805']
['02777', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02737', 'O', '698', '697', '698', '372', 'O', 'O']
['02778', '110', 'O', 'O', '82', '40', '170', '96']
['02738', '370', '471', 'O', '378', '572', '395', 'O']
['02780', '472', '350', '475', 'O', 'O', '346', '343']
['02740', 'I-BP', 'I-BP', '176', '78', '270', 'Oz', '341']
['02836', '265', '103', '195', '41', 'O', 'O', '192']
['02741', '185', '77', '42', 'O', '92', '173', '46']
['04811', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02742', '344', '347', 'O', '495', '475', '477', 'O']
['04871', 'O', '700', '700', '700', 'O', 'O', '642']
['02743', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['04933', '640', '709', '739', 'O', '647', '869', '644']
['02745', '381', '410', '375', '393', '395', '348', 'O']
['04944', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02746', '92', 'O', '189', '111', '106', '174', 'Oz']
['06234', 'O', 'O', 'O', '471', '485', '369', '372']
['02747', '90', 'O', 'O', '47', '193', '177', '175']
['06509', '793', '671', '690', '785', '689', 'Oz', 'Oz']
['02748', '870', 'O', 'O', 'O', '697', '791', '771']
['06514', 'O', 'O', '382', '390', '491', '375', 'O']
['02749', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['06636', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02750', '475', '376', 'O', '350', '45', 'O', 'O']
['09267', 'I-GO', 'I-GO', '652', '682', '786', '677', 'O']
['09406', '350', 'O', 'O', '411', '442', '489', '342']
['21041', 'O', '741', '642', 'O', '378', '776', '689']
['21001', '674', '642', 'O', 'O', '383', '777', '572']
