['06234', '490', '343', '374', '342', '396', '394', 'O']
['02746', '189', '91', '170', '79', '170', 'O', 'O']
['06509', '682', '641', '680', '793', '640', '787', 'O']
['02747', 'O', '111', '175', '81', '81', 'O', 'O']
['06514', '351', '505', '489', '440', '487', 'O', 'O']
['02748', '647', '649', '441', '372', '743', '791', 'O']
['07624', '97', '141', 'O', 'O', 'O', '178', '341']
['02749', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['09267', '912', '912', '912', 'Oz', 'Oz', '912', '913']
['02750', '493', '477', '402', '442', '493', '346', 'O']
['09406', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02751', '709', '642', '671', '680', '649', '792', 'O']
['21001', '746', '695', '786', '643', '707', 'O', '791']
['02752', 'Oz', '640', '643', '785', '770', '694', 'O']
['21002', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02753', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21006', 'O', '77', '195', '173', '82', 'O', 'O']
['02754', 'I-GO', 'I-GO', 'I-GO', 'I-GO', '176', '47', '96']
['21007', '396', '344', 'O', '107', '69', '41', '391']
['02755', '692', 'Oz', '647', '642', '677', 'O', 'O']
['21010', '188', 'O', 'O', '172', '76', '50', 'O']
['02756', '347', 'O', '347', '490', '441', 'O', '394']
['21011', '343', '396', '344', '491', 'O', '474', '348']
['02757', '470', '489', 'O', '374', '496', 'O', 'O']
['21012', '671', 'O', '679', '770', '791', '785', '689']
['02758', '265', '74', '111', 'I-GO', 'I-GO', 'Og', 'Og']
['21013', '472', '400', '376', '496', '343', 'O', 'O']
['02761', '375', 'O', '370', '669', '372', '342', 'Oz']
['21014', 'O', '196', '178', '176', '45', '69', '72']
['02762', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21015', '680', '703', '642', 'O', '383', '675', 'O']
['02764', '775', '370', '677', '677', '492', '778', 'O']
['21016', '102', '51', '50', '77', '73', 'O', 'O']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21053', '642', '743', '689', '345', '680', 'O', '775']
['21019', 'O', 'O', '139', '70', '83', '193', 'O']
['21055', 'O', '373', '496', '404', '375', '347', '641']
['21020', '191', '146', '41', '98', '92', '74', 'O']
['21056', '196', '82', '46', '140', '103', 'O', 'O']
['21021', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21057', '91', '492', '470', 'O', 'O', '189', '48']
['21022', '173', '40', '77', '108', '95', 'Oz', 'Oz']
['21058', '348', '397', 'O', 'O', 'O', '348', '478']
['21023', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21059', '377', '470', '487', 'O', 'O', '341', '477']
['21024', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21060', '471', '374', '174', 'O', 'O', '487', '372']
['21025', 'I-BS', 'I-BS', 'I-BS', 'I-BS', 'I-BS', 'Ob', 'Ob']
['21061', '411', '440', '492', 'O', 'O', '374', '375']
['21026', 'Oz', '173', '74', '47', '188', 'O', 'O']
['21062', '342', '407', '471', 'O', 'O', '494', '475']
['21027', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21063', '111', '174', '191', 'O', 'O', '343', '377']
['21028', '43', '175', '98', '175', '79', 'O', '136']
['21064', '487', '377', '97', 'O', 'O', '492', '369']
['21029', '444', '350', '398', '485', 'I-DK', 'Oz', 'Oz']
['21065', '44', '189', '140', 'O', 'O', '42', '376']
['21030', '48', '71', '172', '40', 'Oz', 'Oz', '46']
['21066', '491', '342', '377', 'O', 'O', '774', '785']
['21031', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21067', 'O', '170', '104', 'O', 'O', '174', '340']
['21032', 'I-GO', 'I-GO', 'I-GO', '398', '440', '485', 'O']
['21068', '107', '42', '72', 'O', 'O', '371', '647']
['21033', '475', 'O', '439', '408', '340', '490', '370']
['21069', '140', '191', '80', 'O', 'O', '491', '344']
['21034', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21070', '693', '709', '674', 'O', '742', '790', '643']
