['21006', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02754', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21007', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02755', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21010', 'O', '76', '70', '40', '74', 'O', 'O']
['02756', 'O', '489', '343', '72', '343', '373', 'O']
['21011', '375', '473', '342', '374', '342', 'O', 'O']
['02757', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21012', '690', 'O', 'O', '570', '397', '740', '641']
['02758', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['21013', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02761', '789', '670', '770', 'O', '794', 'O', '670']
['21014', '77', '43', '90', '79', 'O', 'O', '40']
['02762', '190', '265', '192', '42', '195', 'O', 'O']
['21015', 'O', '647', '786', '399', '652', '374', 'O']
['02764', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21016', 'Oz', 'O', '176', '141', '146', '78', '174']
['02766', 'O', '389', '472', '396', '440', '372', 'O']
['21018', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21019', 'O', 'O', 'Oz', '45', '99', '93', '96']
['21055', '476', '373', '496', '493', 'O', '377', '438']
['21020', '69', 'O', '110', '173', '52', '49', 'O']
['21056', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21021', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21057', '76', 'O', '196', '52', '101', 'O', '341']
['21022', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21058', '438', '343', '369', '496', '377', 'O', '470']
['21023', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21059', '170', '71', '42', '193', '42', 'O', '487']
['21024', '343', '344', '408', '489', '401', 'O', '346']
['21060', '474', 'O', '99', '50', '444', '470', 'O']
['21025', 'I-BS', 'I-BS', 'I-BS', 'I-BS', 'I-BS', 'Ob', 'Ob']
['21061', '394', 'O', '477', '400', 'O', '471', '190']
['21026', 'O', 'O', '41', '76', '176', '74', '42']
['21062', '73', '176', '75', '195', '79', 'O', 'O']
['21027', '191', '170', 'I-DK', 'I-DK', 'Oz', 'Oz', 'Oz']
['21063', '92', 'O', '43', '142', '178', '69', 'O']
['21028', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['21064', '787', 'O', '487', '373', 'O', '779', '394']
['21029', '492', '370', '78', '347', '411', '348', 'Oz']
['21065', 'O', '478', '441', 'O', '470', '488', 'O']
['21030', '74', 'O', '144', '187', 'O', '45', '95']
['21066', '477', '346', '489', '81', 'O', 'O', '375']
['21031', 'O', 'O', '92', '92', '92', 'O', 'O']
['21067', '175', 'O', '44', '103', '104', '72', '172']
['21032', '346', 'O', '491', '409', '402', 'O', 'Oz']
['21068', '373', 'O', '379', '350', '408', '486', 'Oz']
['21033', '344', 'O', '439', '490', '407', '375', 'O']
['21069', 'Oz', 'O', '49', '48', '78', '440', 'O']
['21034', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21070', '435', 'O', '139', '77', '475', 'O', '489']
['21035', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21071', 'Oz', 'O', '83', '376', '493', '397', '392']
['21036', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21072', '393', 'O', '46', '74', '70', 'O', 'O']
['21037', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['21073', 'O', 'O', '77', '94', '44', '432', '374']
['21038', 'Og', 'Og', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz']
['21074', '490', 'O', '81', '186', '81', 'O', 'O']
['21039', 'Oz', 'O', '695', '794', '643', '648', 'O']
['21075', '487', 'O', '79', '188', '177', '487', '347']
['21040', '736', '675', '776', '370', 'O', '370', '477']
['21076', 'O', '178', '71', '49', '96', 'O', 'O']
['21041', '340', '470', '347', '398', '344', '494', 'Oz']
['21077', '486', 'O', '94', '44', '69', '376', 'O']
['21042', '674', '640', '785', '372', 'O', '776', '644']
['21078', '473', '347', '470', '80', '192', '175', 'O']
['21043', '488', '345', 'Oz', 'Oz', '410', '341', '486']
['21079', '345', 'O', 'O', '70', '141', '89', 'O']
['21044', '372', 'O', '446', '442', 'O', '492', '343']
['21080', '138', '375', '51', '170', 'O', 'O', '69']
['21045', 'O', '44', '100', '178', '142', '91', 'O']
['3720304', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21046', 'O', 'O', 'I-DK', 'I-DK', 'O', '791', '693']
['3760392', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21047', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['3760393', '644', '438', '746', '793', '383', 'O', '775']
['21048', '777', '672', 'Oz', 'Oz', 'Oz', '786', '676']
['56650', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21049', '489', '471', '344', '78', 'O', 'O', '471']
['63867', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21050', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['70932', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21051', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21052', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21053', '771', 'O', 'O', '770', '791', '646', '773']
